RMOB,MEA_MAP_21114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Active Exceptions of 23 Rules in MEA_MAP_21114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeStamp,5/17/2021 13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter Applied,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin Level 1,Admin Level 2,Admin Level 3,Admin Level 4,Admin Level 5,Rule Code,Rule Name,Severity,LE Status,Priority,DBE Val Comment,DBE Comment,Responsibility,LE Review,User Id,User Location,Assigned To,LE Reason,LE Details,Timestamp,Remark,Message,WAV Status,Project Name,LE Check,Validation Type,Clean For Extracts,CCLV Runlist,LE Enabled,Validation Id,Link Id
Saudo Arabija,Ba Ha,Ba Ha,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:38,,RDS26+20460T,F,South Africa - FC12345 - WO095756...EST - Mumbai - Global,NO,W  ,NO,NO,YES,2454926743,7430191786
Sanyukt Arab Ameerat,Abu Dabi,Abu Dabi,,,RDS038,Previous RDS-TMC Codes Do Not Match Traffic Table,2,Active,HIGH,-,-,TRAFFIC GPO,NO,mubadguj,Mumbai,mubadguj,,,5/17/2021 12:37,,RDS19+04288 missing offset RDS-TMC code,F,UNKNOWN,NO,W  ,NO,NO,YES,2456530684,2455527849
Sanyukt Arab Ameerat,Abu Dabi,Abu Dabi,,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC GPO,NO,mubadguj,Mumbai,mubadguj,,,5/17/2021 12:37,,RDS-TMC Feature: RDS19+04288,F,UNKNOWN,NO,W  ,NO,NO,YES,2456323291,9880798309
Sanyukt Arab Ameerat,Abu Dabi,Abu Dabi,,,RDS046,Non-Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC GPO,NO,mubadguj,Mumbai,mubadguj,,,5/17/2021 12:37,,RDS-TMC Feature: RDS19+04288F,F,Middle East & Africa - FC12345-Core Map - Core Map - WO096242...Core Team - MEA,NO,W  ,NO,NO,YES,2456323233,2455527848
Saudo Arabija,A Xi Er Sheng,Ha Mei Si Mo Sha Yi Te,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:37,,RDS28-09761F,F,"Middle East & Africa - FC12345-Community - Community Input - WO095865...FQ221
MEA_Q221_Community-MEA...Community - MEA",NO,W  ,NO,NO,YES,2454926856,5775329809
Saudo Arabija,A Xi Er Sheng,Ha Mei Si Mo Sha Yi Te,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:37,,RDS28+09762T,F,"Middle East & Africa - FC12345-Community - Community Input - WO095865...FQ221
MEA_Q221_Community-MEA...Community - MEA",NO,W  ,NO,NO,YES,2454926855,5775329809
Saudo Arabija,A Xi Er Sheng,Ha Mei Si Mo Sha Yi Te,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:37,,RDS28-09761F,F,"Middle East & Africa - FC12345-Community - Community Input - WO095865...FQ221
MEA_Q221_Community-MEA...Community - MEA",NO,W  ,NO,NO,YES,2454926851,5775329813
Saudo Arabija,A Xi Er Sheng,Ha Mei Si Mo Sha Yi Te,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:37,,RDS28+09762T,F,"Middle East & Africa - FC12345-Community - Community Input - WO095865...FQ221
MEA_Q221_Community-MEA...Community - MEA",NO,W  ,NO,NO,YES,2454926850,5775329813
Saudo Arabija,Ji Zan,Sa Bi Ya,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:36,,RDS26+20943T,F,UNKNOWN,NO,W  ,NO,NO,YES,2454926975,5622232404
Saudo Arabija,Ji Zan,Sa Bi Ya,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:36,,RDS28-01690F,F,UNKNOWN,NO,W  ,NO,NO,YES,2454926974,5622232404
